"festival_id","naziv_festivala","država","grad","datum_početka","datum_završetka","cijena_ulaznica","žanrovi_glazbe","organizator","web_stranica","izvodjaci"
1,"Forestland","Republika Hrvatska","Mali Mihaljevec","2025-07-17T22:00:00.000Z","2025-07-18T22:00:00.000Z","35.00","Multiple","Boris Novak, Nikola Horvat, Ivan Barlek","https://forestland.hr/frequently-asked-questions","Baby Lasagna, Hiljson Mandela, Miach"
2,"Terezijana","Republika Hrvatska","Bjelovar","2025-06-17T22:00:00.000Z","2025-06-21T22:00:00.000Z","0.00","Multiple","Turistička zajednica Bjelovar","https://terezijana.hr/","Elemental, Dubioza Kolektiv, Hiljson Mandela, Miach"
3,"INmusic","Republika Hrvatska","Zagreb","2025-06-21T22:00:00.000Z","2025-06-23T22:00:00.000Z","122.00","EDM","Zoran Marić","https://www.inmusicfestival.com/en","Kasabian, The Streets, YARD"
4,"Ultra Europe","Republika Hrvatska","Split","2025-07-09T22:00:00.000Z","2025-07-11T22:00:00.000Z","120.00","EDM","Ultra Worldwide","https://ultraeurope.com/","Martin Garrix, Hardwell, Boris Brejcha"
5,"Coachella","Kalifornija, SAD","Indio","2025-04-10T22:00:00.000Z","2025-04-12T22:00:00.000Z","549.00","Pop","Goldenvoice","https://www.coachella.com/","Lady Gaga, Benson Boone, Charlie XCX"
6,"Sea Star Festival","Republika Hrvatska","Umag","2025-05-21T22:00:00.000Z","2025-05-24T22:00:00.000Z","55.00","Multiple","EXIT tim","https://seastarfestival.com/","30zona, Voyage, Loreen, Lost Frequencies"
7,"Glastonbury Festival","Ujedinjeno Kraljevstvo","Pilton","2025-06-24T22:00:00.000Z","2025-06-28T22:00:00.000Z","345.00","Multiple","Michael Eavis, Emily Eavis","https://www.glastonburyfestivals.co.uk/","Coldplay, Florence + The Machine, Billie Eilish"
8,"Tomorrowland","Belgija","Boom","2025-10-09T22:00:00.000Z","2025-10-11T22:00:00.000Z","350.00","EDM","We Are One World","https://www.tomorrowland.com/","Armin van Buuren, David Guetta, Tiësto"
9,"EXIT Festival","Srbija","Novi Sad","2025-07-09T22:00:00.000Z","2025-07-12T22:00:00.000Z","125.00","Multiple","EXIT tim","https://www.exitfest.org","Boris Brejcha, Loreen, Tiësto, The Prodigy"
10,"Fusion Festival","Njemačka","Lärz","2025-06-24T22:00:00.000Z","2025-06-28T22:00:00.000Z","180.00","Multiple","Kulturkosmos Müritz","https://www.fusion-festival.de","How Yes No, EGO, Im Dunkeln"
